,date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
58,2018-01-01 14:45:00,4.1,0.0,22.1,0.0,100.0,53100,Weekday,Monday,Light_Load
59,2018-01-01 15:00:00,3.64,0.0,16.7,0.0,100.0,54000,Weekday,Monday,Light_Load
60,2018-01-01 15:15:00,3.92,0.0,19.33,0.0,100.0,54900,Weekday,Monday,Light_Load
61,2018-01-01 15:30:00,4.1,0.0,21.35,0.0,100.0,55800,Weekday,Monday,Light_Load
62,2018-01-01 15:45:00,3.6,0.0,16.81,0.0,100.0,56700,Weekday,Monday,Light_Load
63,2018-01-01 16:00:00,3.96,0.0,20.45,0.0,100.0,57600,Weekday,Monday,Light_Load
64,2018-01-01 16:15:00,4.0,0.0,20.77,0.0,100.0,58500,Weekday,Monday,Light_Load
65,2018-01-01 16:30:00,3.6,0.0,16.81,0.0,100.0,59400,Weekday,Monday,Light_Load
66,2018-01-01 16:45:00,4.07,0.0,21.64,0.0,100.0,60300,Weekday,Monday,Light_Load
67,2018-01-01 17:00:00,3.82,0.0,19.19,0.0,100.0,61200,Weekday,Monday,Light_Load
68,2018-01-01 17:15:00,3.56,0.0,16.96,0.0,100.0,62100,Weekday,Monday,Light_Load
69,2018-01-01 17:30:00,4.1,0.0,23.51,0.0,100.0,63000,Weekday,Monday,Light_Load
70,2018-01-01 17:45:00,3.6,0.0,17.39,0.0,100.0,63900,Weekday,Monday,Light_Load
71,2018-01-01 18:00:00,3.6,0.0,17.35,0.0,100.0,64800,Weekday,Monday,Light_Load
72,2018-01-01 18:15:00,4.0,0.0,8.96,0.0,100.0,65700,Weekday,Monday,Light_Load
73,2018-01-01 18:30:00,3.42,0.0,5.47,0.0,100.0,66600,Weekday,Monday,Light_Load
74,2018-01-01 18:45:00,3.67,0.0,16.24,0.0,100.0,67500,Weekday,Monday,Light_Load
75,2018-01-01 19:00:00,4.07,0.0,22.57,0.0,100.0,68400,Weekday,Monday,Light_Load
76,2018-01-01 19:15:00,3.53,0.0,17.39,0.0,100.0,69300,Weekday,Monday,Light_Load
77,2018-01-01 19:30:00,3.85,0.0,20.74,0.0,100.0,70200,Weekday,Monday,Light_Load
78,2018-01-01 19:45:00,3.96,0.0,20.88,0.0,100.0,71100,Weekday,Monday,Light_Load
79,2018-01-01 20:00:00,3.56,0.0,17.35,0.0,100.0,72000,Weekday,Monday,Light_Load
80,2018-01-01 20:15:00,4.03,0.0,22.54,0.0,100.0,72900,Weekday,Monday,Light_Load
81,2018-01-01 20:30:00,3.74,0.0,19.55,0.0,100.0,73800,Weekday,Monday,Light_Load
82,2018-01-01 20:45:00,3.56,0.0,17.42,0.0,100.0,74700,Weekday,Monday,Light_Load
83,2018-01-01 21:00:00,4.21,0.0,24.26,0.0,100.0,75600,Weekday,Monday,Light_Load
84,2018-01-01 21:15:00,3.56,0.0,17.75,0.0,100.0,76500,Weekday,Monday,Light_Load
85,2018-01-01 21:30:00,3.53,0.0,17.42,0.0,100.0,77400,Weekday,Monday,Light_Load
86,2018-01-01 21:45:00,4.25,0.0,25.2,0.0,100.0,78300,Weekday,Monday,Light_Load
87,2018-01-01 22:00:00,3.53,0.0,17.5,0.0,100.0,79200,Weekday,Monday,Light_Load
88,2018-01-01 22:15:00,3.56,1.44,10.08,0.0,92.7,80100,Weekday,Monday,Light_Load
89,2018-01-01 22:30:00,3.67,4.21,0.0,0.0,65.71,81000,Weekday,Monday,Light_Load
90,2018-01-01 22:45:00,3.24,3.35,0.0,0.0,69.52,81900,Weekday,Monday,Light_Load
91,2018-01-01 23:00:00,3.53,3.74,0.0,0.0,68.64,82800,Weekday,Monday,Light_Load
92,2018-01-01 23:15:00,3.53,3.42,0.0,0.0,71.82,83700,Weekday,Monday,Light_Load
93,2018-01-01 23:30:00,3.24,2.95,0.0,0.0,73.94,84600,Weekday,Monday,Light_Load
94,2018-01-01 23:45:00,3.67,3.96,0.0,0.0,67.97,85500,Weekday,Monday,Light_Load
95,2018-01-01 00:00:00,3.42,3.46,0.0,0.0,70.3,0,Weekday,Monday,Light_Load
96,2018-01-02 00:15:00,3.2,3.1,0.0,0.0,71.82,900,Weekday,Tuesday,Light_Load
97,2018-01-02 00:30:00,3.85,4.61,0.0,0.0,64.1,1800,Weekday,Tuesday,Light_Load
98,2018-01-02 00:45:00,3.28,3.67,0.0,0.0,66.64,2700,Weekday,Tuesday,Light_Load
99,2018-01-02 01:00:00,3.35,3.6,0.0,0.0,68.12,3600,Weekday,Tuesday,Light_Load
100,2018-01-02 01:15:00,3.89,4.72,0.0,0.0,63.6,4500,Weekday,Tuesday,Light_Load
101,2018-01-02 01:30:00,3.28,3.53,0.0,0.0,68.07,5400,Weekday,Tuesday,Light_Load
102,2018-01-02 01:45:00,3.46,3.96,0.0,0.0,65.8,6300,Weekday,Tuesday,Light_Load
103,2018-01-02 02:00:00,3.78,4.82,0.0,0.0,61.71,7200,Weekday,Tuesday,Light_Load
104,2018-01-02 02:15:00,3.31,3.53,0.0,0.0,68.4,8100,Weekday,Tuesday,Light_Load
105,2018-01-02 02:30:00,3.6,4.36,0.0,0.0,63.67,9000,Weekday,Tuesday,Light_Load
106,2018-01-02 02:45:00,3.64,4.39,0.0,0.0,63.83,9900,Weekday,Tuesday,Light_Load
107,2018-01-02 03:00:00,3.28,3.71,0.0,0.0,66.24,10800,Weekday,Tuesday,Light_Load
108,2018-01-02 03:15:00,3.71,4.57,0.0,0.0,63.03,11700,Weekday,Tuesday,Light_Load
109,2018-01-02 03:30:00,3.56,4.03,0.0,0.0,66.21,12600,Weekday,Tuesday,Light_Load
110,2018-01-02 03:45:00,3.24,3.49,0.0,0.0,68.04,13500,Weekday,Tuesday,Light_Load
111,2018-01-02 04:00:00,3.89,4.64,0.0,0.0,64.25,14400,Weekday,Tuesday,Light_Load
112,2018-01-02 04:15:00,3.28,3.42,0.0,0.0,69.22,15300,Weekday,Tuesday,Light_Load
113,2018-01-02 04:30:00,3.28,3.49,0.0,0.0,68.48,16200,Weekday,Tuesday,Light_Load
114,2018-01-02 04:45:00,3.96,4.68,0.0,0.0,64.59,17100,Weekday,Tuesday,Light_Load
115,2018-01-02 05:00:00,3.24,3.42,0.0,0.0,68.77,18000,Weekday,Tuesday,Light_Load
116,2018-01-02 05:15:00,3.46,3.78,0.0,0.0,67.52,18900,Weekday,Tuesday,Light_Load
117,2018-01-02 05:30:00,3.67,4.07,0.0,0.0,66.97,19800,Weekday,Tuesday,Light_Load
118,2018-01-02 05:45:00,3.24,3.42,0.0,0.0,68.77,20700,Weekday,Tuesday,Light_Load
119,2018-01-02 06:00:00,3.67,3.96,0.0,0.0,67.97,21600,Weekday,Tuesday,Light_Load
120,2018-01-02 06:15:00,3.53,3.78,0.0,0.0,68.25,22500,Weekday,Tuesday,Light_Load
121,2018-01-02 06:30:00,3.2,3.24,0.0,0.0,70.27,23400,Weekday,Tuesday,Light_Load
122,2018-01-02 06:45:00,3.78,4.07,0.0,0.0,68.05,24300,Weekday,Tuesday,Light_Load
123,2018-01-02 07:00:00,3.35,3.35,0.0,0.0,70.71,25200,Weekday,Tuesday,Light_Load
124,2018-01-02 07:15:00,3.53,3.49,0.0,0.0,71.11,26100,Weekday,Tuesday,Light_Load
125,2018-01-02 07:30:00,6.3,4.57,0.0,0.0,80.95,27000,Weekday,Tuesday,Light_Load
126,2018-01-02 07:45:00,6.05,4.79,0.0,0.0,78.4,27900,Weekday,Tuesday,Light_Load
127,2018-01-02 08:00:00,6.73,4.54,0.0,0.0,82.9,28800,Weekday,Tuesday,Light_Load
128,2018-01-02 08:15:00,29.02,18.83,0.07,0.0,83.89,29700,Weekday,Tuesday,Light_Load
129,2018-01-02 08:30:00,46.19,28.66,0.0,0.0,84.97,30600,Weekday,Tuesday,Light_Load
130,2018-01-02 08:45:00,52.06,35.32,0.0,0.0,82.75,31500,Weekday,Tuesday,Light_Load
131,2018-01-02 09:00:00,56.2,12.53,0.11,0.0,97.6,32400,Weekday,Tuesday,Light_Load
132,2018-01-02 09:15:00,56.84,8.32,0.0,0.0,98.95,33300,Weekday,Tuesday,Medium_Load
133,2018-01-02 09:30:00,51.26,4.54,0.94,0.0,99.61,34200,Weekday,Tuesday,Medium_Load
134,2018-01-02 09:45:00,48.13,2.34,1.15,0.0,99.88,35100,Weekday,Tuesday,Medium_Load
135,2018-01-02 10:00:00,52.81,7.06,0.54,0.0,99.12,36000,Weekday,Tuesday,Medium_Load
136,2018-01-02 10:15:00,54.79,7.52,0.14,0.0,99.07,36900,Weekday,Tuesday,Maximum_Load
137,2018-01-02 10:30:00,53.21,8.35,0.11,0.0,98.79,37800,Weekday,Tuesday,Maximum_Load
138,2018-01-02 10:45:00,80.21,32.4,0.0,0.0,92.72,38700,Weekday,Tuesday,Maximum_Load
139,2018-01-02 11:00:00,77.58,25.49,0.0,0.0,95.0,39600,Weekday,Tuesday,Maximum_Load
140,2018-01-02 11:15:00,128.52,70.85,0.0,0.0,87.57,40500,Weekday,Tuesday,Maximum_Load
141,2018-01-02 11:30:00,144.47,78.48,0.0,0.0,87.87,41400,Weekday,Tuesday,Maximum_Load
142,2018-01-02 11:45:00,90.86,54.29,0.0,0.0,85.84,42300,Weekday,Tuesday,Maximum_Load
143,2018-01-02 12:00:00,123.3,66.06,0.0,0.0,88.15,43200,Weekday,Tuesday,Maximum_Load
144,2018-01-02 12:15:00,19.22,5.54,18.9,0.0,96.09,44100,Weekday,Tuesday,Medium_Load
145,2018-01-02 12:30:00,8.46,0.0,25.92,0.0,100.0,45000,Weekday,Tuesday,Medium_Load
146,2018-01-02 12:45:00,8.24,0.0,25.34,0.0,100.0,45900,Weekday,Tuesday,Medium_Load
147,2018-01-02 13:00:00,8.03,0.0,25.49,0.0,100.0,46800,Weekday,Tuesday,Medium_Load
148,2018-01-02 13:15:00,79.67,27.29,6.52,0.0,94.6,47700,Weekday,Tuesday,Medium_Load
149,2018-01-02 13:30:00,97.85,46.8,0.0,0.0,90.21,48600,Weekday,Tuesday,Medium_Load
150,2018-01-02 13:45:00,124.45,49.79,0.0,0.0,92.85,49500,Weekday,Tuesday,Medium_Load
151,2018-01-02 14:00:00,108.61,43.34,0.0,0.0,92.88,50400,Weekday,Tuesday,Medium_Load
152,2018-01-02 14:15:00,123.12,55.26,0.0,0.0,91.23,51300,Weekday,Tuesday,Medium_Load
153,2018-01-02 14:30:00,129.1,53.5,0.0,0.0,92.38,52200,Weekday,Tuesday,Medium_Load
154,2018-01-02 14:45:00,82.08,27.58,0.0,0.0,94.79,53100,Weekday,Tuesday,Medium_Load
155,2018-01-02 15:00:00,143.89,60.91,0.0,0.0,92.09,54000,Weekday,Tuesday,Medium_Load
156,2018-01-02 15:15:00,86.9,34.27,0.0,0.0,93.03,54900,Weekday,Tuesday,Medium_Load
157,2018-01-02 15:30:00,141.44,62.57,0.0,0.0,91.45,55800,Weekday,Tuesday,Medium_Load
158,2018-01-02 15:45:00,116.53,52.88,0.0,0.0,91.06,56700,Weekday,Tuesday,Medium_Load
159,2018-01-02 16:00:00,129.31,61.16,0.0,0.0,90.4,57600,Weekday,Tuesday,Medium_Load
160,2018-01-02 16:15:00,136.44,56.77,0.0,0.0,92.33,58500,Weekday,Tuesday,Medium_Load
161,2018-01-02 16:30:00,85.72,34.85,0.0,0.0,92.64,59400,Weekday,Tuesday,Medium_Load
162,2018-01-02 16:45:00,147.46,65.27,0.0,0.0,91.44,60300,Weekday,Tuesday,Medium_Load
163,2018-01-02 17:00:00,86.94,30.78,0.0,0.0,94.27,61200,Weekday,Tuesday,Medium_Load
164,2018-01-02 17:15:00,67.25,25.81,0.0,0.0,93.36,62100,Weekday,Tuesday,Maximum_Load
165,2018-01-02 17:30:00,115.78,50.04,0.0,0.0,91.79,63000,Weekday,Tuesday,Maximum_Load
166,2018-01-02 17:45:00,113.11,34.63,0.0,0.0,95.62,63900,Weekday,Tuesday,Maximum_Load
167,2018-01-02 18:00:00,76.75,11.74,1.04,0.0,98.85,64800,Weekday,Tuesday,Maximum_Load
168,2018-01-02 18:15:00,41.9,15.23,0.14,0.0,93.98,65700,Weekday,Tuesday,Maximum_Load
169,2018-01-02 18:30:00,37.4,19.94,0.0,0.0,88.24,66600,Weekday,Tuesday,Maximum_Load
170,2018-01-02 18:45:00,40.25,8.82,0.5,0.0,97.68,67500,Weekday,Tuesday,Maximum_Load
171,2018-01-02 19:00:00,34.92,1.98,1.58,0.0,99.84,68400,Weekday,Tuesday,Maximum_Load
172,2018-01-02 19:15:00,41.36,6.44,0.43,0.0,98.81,69300,Weekday,Tuesday,Maximum_Load
173,2018-01-02 19:30:00,35.96,2.52,1.37,0.0,99.76,70200,Weekday,Tuesday,Maximum_Load
174,2018-01-02 19:45:00,39.42,5.29,0.47,0.0,99.11,71100,Weekday,Tuesday,Maximum_Load
175,2018-01-02 20:00:00,38.16,4.68,0.5,0.0,99.26,72000,Weekday,Tuesday,Maximum_Load
176,2018-01-02 20:15:00,33.23,1.51,3.96,0.0,99.9,72900,Weekday,Tuesday,Medium_Load
177,2018-01-02 20:30:00,25.88,0.0,12.13,0.0,100.0,73800,Weekday,Tuesday,Medium_Load
178,2018-01-02 20:45:00,10.84,0.0,23.22,0.0,100.0,74700,Weekday,Tuesday,Medium_Load
179,2018-01-02 21:00:00,9.29,0.0,23.51,0.0,100.0,75600,Weekday,Tuesday,Medium_Load
180,2018-01-02 21:15:00,6.98,0.0,25.16,0.0,100.0,76500,Weekday,Tuesday,Medium_Load
181,2018-01-02 21:30:00,5.11,0.0,26.5,0.0,100.0,77400,Weekday,Tuesday,Medium_Load
182,2018-01-02 21:45:00,5.08,0.0,26.42,0.0,100.0,78300,Weekday,Tuesday,Medium_Load
183,2018-01-02 22:00:00,5.04,0.0,26.46,0.0,100.0,79200,Weekday,Tuesday,Medium_Load
184,2018-01-02 22:15:00,4.93,1.84,15.44,0.0,93.69,80100,Weekday,Tuesday,Maximum_Load
185,2018-01-02 22:30:00,4.64,5.22,0.0,0.0,66.44,81000,Weekday,Tuesday,Maximum_Load
186,2018-01-02 22:45:00,4.68,5.18,0.0,0.0,67.04,81900,Weekday,Tuesday,Maximum_Load
187,2018-01-02 23:00:00,4.68,5.11,0.0,0.0,67.54,82800,Weekday,Tuesday,Maximum_Load
188,2018-01-02 23:15:00,4.57,4.54,0.0,0.0,70.94,83700,Weekday,Tuesday,Light_Load
189,2018-01-02 23:30:00,4.57,4.25,0.0,0.0,73.23,84600,Weekday,Tuesday,Light_Load
190,2018-01-02 23:45:00,4.54,4.25,0.0,0.0,73.0,85500,Weekday,Tuesday,Light_Load
191,2018-01-02 00:00:00,4.61,4.21,0.0,0.0,73.84,0,Weekday,Tuesday,Light_Load
192,2018-01-03 00:15:00,4.61,4.61,0.0,0.0,70.71,900,Weekday,Wednesday,Light_Load
193,2018-01-03 00:30:00,4.61,4.54,0.0,0.0,71.25,1800,Weekday,Wednesday,Light_Load
194,2018-01-03 00:45:00,4.57,4.5,0.0,0.0,71.25,2700,Weekday,Wednesday,Light_Load
195,2018-01-03 01:00:00,4.57,4.61,0.0,0.0,70.4,3600,Weekday,Wednesday,Light_Load
196,2018-01-03 01:15:00,4.64,4.46,0.0,0.0,72.1,4500,Weekday,Wednesday,Light_Load
197,2018-01-03 01:30:00,4.64,4.57,0.0,0.0,71.25,5400,Weekday,Wednesday,Light_Load
198,2018-01-03 01:45:00,4.61,4.79,0.0,0.0,69.34,6300,Weekday,Wednesday,Light_Load
199,2018-01-03 02:00:00,4.57,4.5,0.0,0.0,71.25,7200,Weekday,Wednesday,Light_Load
200,2018-01-03 02:15:00,4.61,4.39,0.0,0.0,72.42,8100,Weekday,Wednesday,Light_Load
201,2018-01-03 02:30:00,4.64,4.75,0.0,0.0,69.88,9000,Weekday,Wednesday,Light_Load
202,2018-01-03 02:45:00,4.64,4.75,0.0,0.0,69.88,9900,Weekday,Wednesday,Light_Load
203,2018-01-03 03:00:00,4.57,4.75,0.0,0.0,69.33,10800,Weekday,Wednesday,Light_Load
204,2018-01-03 03:15:00,4.64,5.11,0.0,0.0,67.22,11700,Weekday,Wednesday,Light_Load
205,2018-01-03 03:30:00,4.64,4.72,0.0,0.0,70.1,12600,Weekday,Wednesday,Light_Load
206,2018-01-03 03:45:00,4.68,4.68,0.0,0.0,70.71,13500,Weekday,Wednesday,Light_Load
207,2018-01-03 04:00:00,4.57,4.46,0.0,0.0,71.57,14400,Weekday,Wednesday,Light_Load
208,2018-01-03 04:15:00,4.54,4.32,0.0,0.0,72.44,15300,Weekday,Wednesday,Light_Load
209,2018-01-03 04:30:00,4.61,4.46,0.0,0.0,71.87,16200,Weekday,Wednesday,Light_Load
210,2018-01-03 04:45:00,4.57,4.32,0.0,0.0,72.67,17100,Weekday,Wednesday,Light_Load
211,2018-01-03 05:00:00,4.61,4.32,0.0,0.0,72.97,18000,Weekday,Wednesday,Light_Load
212,2018-01-03 05:15:00,4.54,4.14,0.0,0.0,73.89,18900,Weekday,Wednesday,Light_Load
213,2018-01-03 05:30:00,4.57,4.21,0.0,0.0,73.55,19800,Weekday,Wednesday,Light_Load
214,2018-01-03 05:45:00,4.57,4.43,0.0,0.0,71.8,20700,Weekday,Wednesday,Light_Load
215,2018-01-03 06:00:00,4.57,4.5,0.0,0.0,71.25,21600,Weekday,Wednesday,Light_Load
216,2018-01-03 06:15:00,4.64,4.61,0.0,0.0,70.94,22500,Weekday,Wednesday,Light_Load
217,2018-01-03 06:30:00,4.57,4.36,0.0,0.0,72.35,23400,Weekday,Wednesday,Light_Load
218,2018-01-03 06:45:00,4.61,4.54,0.0,0.0,71.25,24300,Weekday,Wednesday,Light_Load
219,2018-01-03 07:00:00,4.54,4.28,0.0,0.0,72.76,25200,Weekday,Wednesday,Light_Load
220,2018-01-03 07:15:00,4.46,4.18,0.0,0.0,72.96,26100,Weekday,Wednesday,Light_Load
221,2018-01-03 07:30:00,6.12,4.25,0.0,0.0,82.14,27000,Weekday,Wednesday,Light_Load
222,2018-01-03 07:45:00,7.92,4.68,0.0,0.0,86.09,27900,Weekday,Wednesday,Light_Load
223,2018-01-03 08:00:00,9.58,4.36,0.0,0.0,91.02,28800,Weekday,Wednesday,Light_Load
224,2018-01-03 08:15:00,37.01,21.56,0.0,0.02,86.41,29700,Weekday,Wednesday,Light_Load
225,2018-01-03 08:30:00,74.59,35.86,0.0,0.03,90.13,30600,Weekday,Wednesday,Light_Load
226,2018-01-03 08:45:00,109.48,53.32,0.0,0.05,89.9,31500,Weekday,Wednesday,Light_Load
227,2018-01-03 09:00:00,105.08,31.82,0.0,0.05,95.71,32400,Weekday,Wednesday,Light_Load
228,2018-01-03 09:15:00,121.79,41.26,0.0,0.06,94.71,33300,Weekday,Wednesday,Medium_Load
229,2018-01-03 09:30:00,114.48,30.24,0.0,0.05,96.68,34200,Weekday,Wednesday,Medium_Load
230,2018-01-03 09:45:00,74.2,21.96,0.0,0.03,95.89,35100,Weekday,Wednesday,Medium_Load
231,2018-01-03 10:00:00,54.32,7.13,0.04,0.02,99.15,36000,Weekday,Wednesday,Medium_Load
232,2018-01-03 10:15:00,75.17,25.06,0.0,0.03,94.87,36900,Weekday,Wednesday,Maximum_Load
233,2018-01-03 10:30:00,58.07,12.24,0.0,0.03,97.85,37800,Weekday,Wednesday,Maximum_Load
234,2018-01-03 10:45:00,67.03,15.08,0.0,0.03,97.56,38700,Weekday,Wednesday,Maximum_Load
235,2018-01-03 11:00:00,74.59,31.64,0.04,0.03,92.06,39600,Weekday,Wednesday,Maximum_Load
236,2018-01-03 11:15:00,57.56,23.9,0.0,0.03,92.36,40500,Weekday,Wednesday,Maximum_Load
237,2018-01-03 11:30:00,78.62,48.06,0.0,0.04,85.32,41400,Weekday,Wednesday,Maximum_Load
238,2018-01-03 11:45:00,69.16,44.17,0.0,0.03,84.28,42300,Weekday,Wednesday,Maximum_Load
239,2018-01-03 12:00:00,74.05,44.78,0.0,0.03,85.57,43200,Weekday,Wednesday,Maximum_Load
240,2018-01-03 12:15:00,11.27,0.5,20.45,0.01,99.9,44100,Weekday,Wednesday,Medium_Load
241,2018-01-03 12:30:00,8.21,0.0,26.21,0.0,100.0,45000,Weekday,Wednesday,Medium_Load
242,2018-01-03 12:45:00,8.14,0.0,25.56,0.0,100.0,45900,Weekday,Wednesday,Medium_Load
243,2018-01-03 13:00:00,7.7,0.0,25.74,0.0,100.0,46800,Weekday,Wednesday,Medium_Load
244,2018-01-03 13:15:00,51.26,21.38,6.08,0.02,92.29,47700,Weekday,Wednesday,Medium_Load
245,2018-01-03 13:30:00,52.7,13.64,0.0,0.02,96.81,48600,Weekday,Wednesday,Medium_Load
246,2018-01-03 13:45:00,55.84,17.24,0.0,0.03,95.55,49500,Weekday,Wednesday,Medium_Load
247,2018-01-03 14:00:00,57.2,17.32,0.0,0.03,95.71,50400,Weekday,Wednesday,Medium_Load
248,2018-01-03 14:15:00,76.57,30.6,0.0,0.04,92.86,51300,Weekday,Wednesday,Medium_Load
249,2018-01-03 14:30:00,61.13,20.45,0.0,0.03,94.83,52200,Weekday,Wednesday,Medium_Load
250,2018-01-03 14:45:00,66.74,26.42,0.0,0.03,92.98,53100,Weekday,Wednesday,Medium_Load
251,2018-01-03 15:00:00,55.8,16.42,0.0,0.03,95.93,54000,Weekday,Wednesday,Medium_Load
